Symbol,EventDateOriginal,EventDateActual,DaysData,CAR_total
IKBA,2025-09-22,2025-09-22,76,-0.12751068754931105
CKML,2025-03-24,2025-03-24,101,-0.029231784640913805
MONP,2025-03-24,2025-03-24,101,-0.1291574397607782
ATPL,2024-12-19,2024-12-19,70,-0.2367390454409949
MAIS,2024-09-23,2024-09-23,101,-0.026231977157943343
ULPL,2024-09-23,2024-09-23,101,-0.43411025466371544
JDPL,2024-03-18,2024-03-18,101,-0.004953020306381117
KODT2,2024-03-18,2024-03-18,101,0.4235359429230394
KTJV,2023-09-18,2023-09-18,101,-0.08350972726649142
HPB,2023-03-20,2023-03-20,101,0.14312627098876962
INGR,2023-03-20,2023-03-20,101,0.16870909029089587
LRHC,2023-03-20,2023-03-20,101,0.02059320138796461
PLAG,2023-03-20,2023-03-20,101,0.0934021152889919
TPNG,2022-12-15,2022-12-15,53,0.005776555081341228
ULPL,2022-09-19,2022-09-19,101,-0.024369268750253803
DLKV,2022-09-19,2022-09-19,101,0.07194274607588957
LKPC,2022-09-19,2022-09-19,101,0.07807179714385581
SAPN,2022-09-19,2022-09-19,101,-0.09208666223458861
OPTE,2022-04-14,2022-04-14,57,0.09297099160521205
IGH,2022-03-21,2022-03-21,101,-0.08434429877870575
KRAS,2022-03-21,2022-03-21,101,0.01809400950237605
PTKM,2022-03-07,2022-03-07,53,-0.879361449731419
DDJH,2021-09-20,2021-09-20,101,0.43615063627316075
SAPN,2021-03-22,2021-03-22,101,0.21847921360281164
TPNG,2021-03-22,2021-03-22,101,-0.1621476097825103
AUHR,2020-09-21,2020-09-21,101,-0.039734302898923546
HPB,2020-09-21,2020-09-21,101,-0.09827744517860659
MAIS,2020-09-21,2020-09-21,101,0.11562756347356318
PBZ,2020-09-21,2020-09-21,101,-0.15160412636131015
VIRO,2020-09-21,2020-09-21,101,-0.3934983891868076
ARNT,2020-03-23,2020-03-23,101,-0.0686848730266989
KOEI,2020-03-23,2020-03-23,101,-0.08015553116427532
JDRN,2019-09-23,2019-09-23,101,-0.0980588457766256
ULPL,2019-03-18,2019-03-18,101,-0.4963324463805886
